Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
reputation,0,962,34311118.0,26919,0,6113,495796.0,14,5170
reputation,0,962,33335353.0,26919,0,6113,495796.0,7,5170
reputation,0,962,31840847.0,26919,-1,6113,495796.0,19,5170
reputation,0,962,37008273.0,26919,0,6113,495796.0,8,5170
reputation,0,106,37542626.0,31771,0,3826,706456.0,8,2398
reputation,0,5,32276474.0,18178,0,708,175216.0,18,1463
reputation,0,160,36848388.0,20915,0,329,1936622.0,16,2283
reputation,0,66,22075789.0,31307,0,637,47775.0,18,2689
reputation,0,157,36504302.0,10959,0,1383,695749.0,14,1118
reputation,2,157,36627861.0,10959,0,1383,695749.0,14,1118
reputation,3,157,37280132.0,10959,0,1383,695749.0,13,1118
reputation,2,42,17942635.0,46915,1,845,20400.0,19,3414
reputation,1,42,31407943.0,46915,0,845,20400.0,19,3414
reputation,2,5,28217208.0,10471,2,469,1622847.0,17,677
reputation,0,62,35035347.0,30536,0,2272,151641.0,15,2146
reputation,0,449,24123905.0,21315,1,1037,229792.0,17,2092
reputation,0,449,34024347.0,21315,0,1037,229792.0,16,2092
reputation,0,10,33541157.0,11726,0,320,122033.0,17,1457
reputation,0,10,32632906.0,11726,3,320,122033.0,16,1457
reputation,5,23,34635371.0,11623,0,519,180420.0,19,805
reputation,0,20,35726701.0,13247,0,1339,6604.0,14,1511
reputation,0,71,35196573.0,11377,2,1658,283538.0,14,1549
reputation,1,71,33456802.0,11377,0,1658,283538.0,19,1549
reputation,0,71,31544565.0,11377,0,1658,283538.0,17,1549
reputation,0,71,36644210.0,11377,0,1658,283538.0,8,1549
reputation,0,71,30476966.0,11377,0,1658,283538.0,18,1549
reputation,4,37,28820948.0,14597,0,883,382307.0,15,1343
reputation,0,21,34339407.0,19061,0,4730,326900.0,10,921
reputation,0,39,32777385.0,27966,0,1314,593627.0,18,3400
reputation,1,39,37367638.0,27966,0,1314,593627.0,18,3400
reputation,0,39,36129196.0,27966,0,1314,593627.0,14,3400
reputation,0,5,37207282.0,12781,1,423,734463.0,19,531
reputation,0,168,37504908.0,20437,0,536,42106.0,17,2845
reputation,1,168,37551796.0,20437,1,536,42106.0,14,2845
reputation,0,8468,37281540.0,34547,0,4550,545127.0,8,9516
reputation,0,17,24939395.0,13681,0,2506,141022.0,19,1048
reputation,0,17,35887536.0,13681,0,2506,141022.0,15,1048
reputation,0,189,31655571.0,32311,0,2468,429427.0,13,1155
reputation,2,32,34676447.0,21080,0,156,4787.0,8,1529
reputation,0,348,31612292.0,25678,0,601,1153938.0,10,1440
reputation,2,15,27302412.0,55182,0,98,343204.0,10,2363
reputation,0,15,29752441.0,55182,0,98,343204.0,19,2363
reputation,1,15,34073203.0,55182,0,98,343204.0,15,2363
reputation,2,15,24212462.0,55182,0,98,343204.0,15,2363
reputation,0,15,35926868.0,55182,0,98,343204.0,16,2363
reputation,0,15,33634279.0,55182,0,98,343204.0,15,2363
reputation,0,15,33309049.0,55182,0,98,343204.0,12,2363
reputation,0,15,34052013.0,55182,0,98,343204.0,10,2363
reputation,0,15,32148843.0,55182,0,98,343204.0,7,2363
reputation,0,15,33638745.0,55182,0,98,343204.0,17,2363
reputation,0,15,30177152.0,55182,1,98,343204.0,6,2363
reputation,0,15,30804435.0,55182,0,98,343204.0,14,2363
reputation,1,15,30007387.0,55182,0,98,343204.0,17,2363
reputation,1,15,31865150.0,55182,0,98,343204.0,6,2363
reputation,2,15,34053341.0,55182,0,98,343204.0,16,2363
reputation,3,15,34055112.0,55182,0,98,343204.0,11,2363
reputation,0,216,37347105.0,23113,0,772,3233.0,19,1006
reputation,0,116,35235854.0,23815,0,4548,1079110.0,18,2002
reputation,3,116,36970447.0,23815,0,4548,1079110.0,16,2002
reputation,0,17,34456445.0,11975,0,917,3006737.0,12,834
reputation,0,17,36691276.0,11975,0,917,3006737.0,19,834
reputation,0,10,37593270.0,23084,1,297,1319998.0,17,1495
reputation,0,1,37659593.0,19866,0,634,31751.0,15,1095
reputation,0,1057,36598045.0,11908,0,478,546871.0,13,2819
reputation,2,16,35793876.0,14031,1,2543,1327651.0,18,894
reputation,0,16,37016394.0,14031,0,2543,1327651.0,8,894
reputation,0,16,33500815.0,14031,0,2543,1327651.0,16,894
reputation,0,16,36223631.0,14031,0,2543,1327651.0,16,894
reputation,0,17,30669436.0,14987,0,561,240215.0,9,1555
reputation,0,1022,33372277.0,47168,0,7845,13744.0,12,3339
reputation,1,9,32247872.0,11092,0,3698,849697.0,19,495
reputation,0,9,33098873.0,11092,0,3698,849697.0,14,495
reputation,0,9,36084859.0,11092,0,3698,849697.0,12,495
reputation,3,9,37653267.0,11092,0,3698,849697.0,17,495
reputation,0,0,30191640.0,13869,0,366,385563.0,19,1060
reputation,0,0,34020353.0,13869,1,366,385563.0,19,1060
reputation,2,0,33129465.0,13869,0,366,385563.0,15,1060
reputation,2,0,35416283.0,13869,0,366,385563.0,16,1060
reputation,1,0,36315760.0,13869,0,366,385563.0,15,1060
reputation,2,29,36211224.0,12141,0,356,98516.0,18,1288
reputation,2,29,29974158.0,12141,0,356,98516.0,18,1288
reputation,0,29,31714321.0,12141,0,356,98516.0,16,1288
reputation,1,42,32539364.0,21155,0,1006,442351.0,17,1225
reputation,0,42,34666765.0,21155,0,1006,442351.0,17,1225
reputation,0,42,33917916.0,21155,0,1006,442351.0,5,1225
reputation,0,42,26567762.0,21155,1,1006,442351.0,17,1225
reputation,5,42,37597375.0,21155,0,1006,442351.0,17,1225
reputation,1,42,37262857.0,21155,0,1006,442351.0,17,1225
reputation,1,42,37622635.0,21155,0,1006,442351.0,11,1225
reputation,1,42,33271278.0,21155,0,1006,442351.0,7,1225
reputation,2,42,32797001.0,21155,0,1006,442351.0,17,1225
